,Sub Division,Year of Installation,Project Name,Meter Installation Date,Village,PV Cap. from Form,Ref. DC V,Actual DC V,String 1: DC V,String 1: DC A,String 2: DC V,String 2: DC A,AC V,AC A,Power (W),E-Today (kWh),E-Total (kWh),Gen. in Solar meter (kWh) ,Avg. Solar generation per kW,Verified,Current Status of Inverter,Check List 1: Connection tightness of AC/DC box is ok?,Check List 2: Tightness nearer to meter connection is ok?,Check List 3: Connection of Earthing & L.A. is ok?,Check List 4: DC/AC connector is ok?,Check List 5: Wire Dressing is ok?,Check List 6: Wifi Connection is ok?,Check List 7: Tightness of U & Z clamp is ok?,Check List 8: Colour of  Welding Joint is ok?,Check List 9: Concrete Block is there?,Check  List 10: Visual checking of all parts,Observation
0,VASANA S_D,2018-19,2018-19R0273,1/28/2019,Gulab vatika vasana div,3.25,300,311.1,311.1,6.7,0.0,0.0,252.0,7.9,2426.0,7.1,6690.0,6690.0,2.31,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No need,Yes,System working fine
1,VASANA S_D,2018-19,2018-19R0216,2/23/2019,Vadodara,3.25,300,310.0,310.0,6.6,0.0,0.0,251.0,8.4,2122.0,11,11000.0,11000.0,3.91,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available,Yes,Yes,02 block concrete work panding,Yes,Concrete block work panding
2,VASANA S_D,2017-18,2017-18R0067,2/4/2018,Vadodara,1.92,180,183.4,183.4,7.01,0.0,0.0,256.0,4.5,1174.0,4.7,8821.0,8821.0,3.68,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi user ID not supported,Yes,Yes,Not applicable,Yes,Na
3,VASANA S_D,2019-20,2019-20R0252,1/8/2020,Vadodara,3.3,300,353.0,353.0,5.3,0.0,0.0,243.0,7.3,1858.0,11,7435.0,7435.0,4.12,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi not in range,Yes,Yes,03 block concrete work panding,Yes,Concrete work panding
4,VASANA S_D,2019-20,2019-20R0253,1/8/2020,Vadodara,3.3,300,338.0,338.0,5.4,0.0,0.0,248.0,7.3,1857.0,12,7251.0,7251.0,4.02,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi user name not supported,Yes,Yes,Yes,Yes,Na
5,AKOTA CITY S_D,2018-19,2018-19R0287,1/28/2019,Orchid bunglow,5.2,480,514.0,254.0,4.4,260.0,4.1,260.0,8.6,2980.0,19,18000.0,18000.0,3.87,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not working at residence,Yes,Yes,No need,Yes,Work fine
6,AKOTA CITY S_D,2018-19,2018-19R0155,12/11/2018,Orchid bunglow,2.925,270,319.0,319.0,4.3,0.0,0.0,252.0,5.5,1406.0,13,7102.0,7102.0,2.58,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No need,Yes,Normal 
7,AKOTA CITY S_D,2018-19,2018-19R0156,12/12/2018,Orchid bunglow,2.925,270,285.0,285.0,4.0,0.0,0.0,250.0,4.3,1150.0,12,3148.0,3148.0,1.14,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No need,Yes,Wifi configuration lost..re configured
8,AKOTA CITY S_D,2018-19,2018-19R0159,12/11/2018,Orchid,2.925,270,286.0,286.0,4.4,0.0,0.0,256.0,4.9,1270.0,12,7668.0,7668.0,2.78,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wifi data logger not working we have to change.
9,AKOTA CITY S_D,2018-19,2018-19R0157,12/12/2018,Orchid,4.55,420,466.0,220.0,2.0,246.0,1.9,247.0,1.5,518.0,19,11000.0,11000.0,2.57,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Panel not clean properly
10,AKOTA CITY S_D,2018-19,2018-19R0158,12/12/2018,Orchid,4.55,420,452.0,226.0,2.1,226.0,2.1,247.0,1.9,507.0,18,16000.0,16000.0,3.74,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Panel not clean
11,AKOTA CITY S_D,2018-19,2018-19R0353,2/7/2019,Orchid,4.55,420,553.0,275.0,1.4,278.0,1.5,246.0,1.4,355.0,20,16000.0,16000.0,3.98,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
